"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"21007",94,"B",7888,314.246960702097
2022-05-14,"21061",94,"C",12150,181.338472140784
2022-05-14,"22075",96.9,"C",23197,674.710110385903
2022-05-14,"26015",95.1,"A",61550,343.812731301867
2022-05-14,"26041",95.1,"B",35784,550.932909369805
2022-05-14,"27013",94.6,"B",67653,596.165855659892
2022-05-14,"27109",94.6,"B",158293,543.073881811822
2022-05-14,"28117",98.1,"D",25126,358.026477459995
2022-05-14,"28149",98.1,"D",45381,557.930573021141
2022-05-14,"31075",90.7,"A",623,884.475502447006
2022-05-14,"31117",90.7,"A",494,847.322802632813
2022-05-14,"33015",94.1,"A",309769,853.290466960376
2022-05-14,"34003",94,"A",932202,688.136040927034
2022-05-14,"36051",97.6,"B",62914,553.00655995876
2022-05-14,"36117",97.6,"B",89918,595.641535051736
2022-05-14,"39033",98.5,"B",41494,326.873370884711
2022-05-14,"39165",98.5,"A",234602,272.257626727281
2022-05-14,"40021",93.8,"D",48657,618.573119599429
2022-05-14,"40083",93.8,"B",48011,725.967051036713
2022-05-14,"40101",93.8,"D",67997,644.395492113262
2022-05-14,"40137",93.8,"C",43143,790.829312227856
2022-05-14,"42027",94.8,"B",162385,512.409249064317
2022-05-14,"42091",94.8,"A",830915,619.036026788742
2022-05-14,"72027",97.3,"A",30504,1798.94536124776
2022-05-14,"72035",97.3,"B",42409,1846.85043476077
2022-05-14,"72043",97.3,"B",38336,1838.22577761406
2022-05-14,"72063",97.3,"A",47093,1845.07719353745
2022-05-14,"72105",97.3,"C",27349,1832.68787930963
2022-05-14,"72125",97.3,"B",30227,1808.63023351933
2022-05-14,"46077",96.7,"A",4939,736.585071019601
2022-05-14,"46085",96.7,"C",3781,821.733022722186
2022-05-14,"46103",96.7,"B",113775,957.703364446843
2022-05-14,"47007",97.8,"D",15064,212.483262178477
2022-05-14,"47035",97.8,"C",60520,197.860929632161
2022-05-14,"47081",97.8,"C",25178,260.302588062982
2022-05-14,"47145",97.8,"B",53382,215.606739392738
2022-05-14,"48163",98.9,"D",20306,1083.77660883401
2022-05-14,"48173",98.9,"A",1409,1059.05010138192
